country
India
Indonesia
Brazil
Nigeria
Mexico
Ethiopia
Philippines
Vietnam
DR Congo
Thailand
Tanzania
Kenya
Myanmar
Colombia
Uganda
Sudan
Angola
Peru
Malaysia
Mozambique
Venezuela
Madagascar
Cameroon
Ivory Coast
Niger
Burkina Faso
Mali
Malawi
Zambia
Guatemala
Ecuador
Senegal
Cambodia
Chad
Somalia
Guinea
Rwanda
Benin
Burundi
Bolivia
Haiti
Cuba
Dominican Republic
Honduras
Togo
Sierra Leone
Laos
Paraguay
Nicaragua
El Salvador
Singapore
Republic of the Congo
Liberia
Costa Rica
Central African Republic
Mauritania
Panama
Eritrea
Jamaica
Puerto Rico
Gambia
Gabon
Guinea-Bissau
Equatorial Guinea
Trinidad and Tobago
Timor-Leste
Mauritius
Djibouti
Reunion
Comoros
Guyana
Suriname
Brunei
Belize
Guadeloupe
Bahamas
Martinique
French Guiana
Barbados
Mayotte
Sao Tome and Principe
Saint Lucia
Grenada
Saint Vincent and the Grenadines
Aruba
United States Virgin Islands
Seychelles
Antigua and Barbuda
Dominica
Cayman Islands
Saint Kitts and Nevis
Saint Martin
Turks and Caicos Islands
British Virgin Islands
Anguilla
Montserrat
